交易所,板块,代码,市场代码,名称,空字段f1,最新价,涨跌额,涨跌幅,流通市场代码,成交量,成交额,振幅,最高,昨收,最低,今开,量比,换手率,市盈率,市净率,行业,地域板块,概念题材
上交所,沪市主板,600018,1,上港集团,2,5.14,0.03,0.59,2,476340,244580770.0,0.98,5.15,5.11,5.1,5.11,0.75,0.2,7.46,0.82,航运港口,上海板块,"参股银行,长江三角,上海自贸,沪企改革,央国企改革,体育产业,一带一路,免税概念,F5G概念,零售概念"
上交所,沪市主板,600019,1,宝钢股份,2,6.43,-0.07,-1.08,2,892413,577962324.0,1.85,6.55,6.5,6.43,6.5,0.73,0.41,15.74,0.67,普钢,上海板块,"参股银行,长江三角,特斯拉概念,央国企改革,一带一路,航母概念,区块链,低碳冶金"
上交所,沪市主板,600020,1,中原高速,2,3.95,0.01,0.25,2,154950,61431557.0,1.52,4.0,3.94,3.94,3.96,0.64,0.69,6.05,0.75,铁路公路,河南板块,"创投,参股银行,参股保险,央国企改革,充电桩,化债(AMC)概念"
上交所,沪市主板,600021,1,上海电力,2,17.89,-0.19,-1.05,2,552082,991832530.0,2.32,18.19,18.08,17.77,18.08,1.16,1.96,22.25,2.43,电力,上海板块,"新能源,核能核电,光伏概念,长江三角,风能,央国企改革,天然气,氢能源,碳交易,储能概念,绿色电力,油气资源"
上交所,沪市主板,600022,1,山东钢铁,2,1.43,-0.02,-1.38,2,710959,102342050.0,1.38,1.45,1.45,1.43,1.45,0.73,0.66,-17.54,0.81,普钢,山东板块,"央国企改革,人工智能,机器人概念"
上交所,沪市主板,600023,1,浙能电力,2,5.97,0.05,0.84,2,654013,390992420.0,2.2,6.03,5.92,5.9,5.92,0.97,0.49,21.13,1.04,电力,浙江板块,"核能核电,央国企改革,超超临界发电,可控核聚变"
上交所,沪市主板,600025,1,华能水电,2,9.62,0.01,0.1,2,374736,361532782.0,1.46,9.72,9.61,9.58,9.61,1.18,0.2,29.03,2.53,电力,云南板块,"新能源,光伏概念,西部大开发,风能,水利建设,央国企改革,绿色电力"
上交所,沪市主板,600026,1,中远海能,2,22.15,-0.23,-1.03,2,473653,1057395716.0,3.8,22.9,22.38,22.05,22.22,0.52,1.24,13.93,2.51,航运港口,上海板块,"海洋经济,央国企改革,一带一路"
上交所,沪市主板,600027,1,华电国际,2,5.33,0.1,1.91,2,1882062,1002068797.0,2.87,5.38,5.23,5.23,5.24,1.53,2.04,8.65,1.24,电力,山东板块,"新能源,风能,央国企改革,虚拟电厂,绿色电力,超超临界发电"
上交所,沪市主板,600028,1,中国石化,2,5.2,-0.01,-0.19,2,2695961,1403417905.0,0.96,5.23,5.21,5.18,5.22,0.8,0.28,9.24,0.75,炼化及贸易,北京板块,"页岩气,央国企改革,一带一路,天然气,氢能源,碳交易,油气资源"
上交所,沪市主板,600029,1,南方航空,2,5.6,-0.05,-0.88,2,1017557,571925225.0,1.95,5.69,5.65,5.58,5.64,0.62,0.76,17.13,2.74,航空机场,广东板块,"参股银行,通用航空,央国企改革,华为概念,免税概念,零售概念"
上交所,沪市主板,600030,1,中信证券,2,27.22,-0.11,-0.4,2,1281736,3496454846.0,1.13,27.44,27.33,27.13,27.35,0.77,1.05,9.87,1.38,证券Ⅱ,广东板块,"参股期货,参股银行,深圳特区,互联网金融,券商概念,华为概念,科创板做市商"
上交所,沪市主板,600031,1,三一重工,2,21.36,-0.48,-2.2,2,1081556,2318942926.0,2.47,21.79,21.84,21.25,21.69,0.76,1.28,19.79,2.17,工程机械,北京板块,"参股银行,一带一路,军民融合,工业互联,新能源车,工程机械概念,雅下水电概念"
上交所,沪市主板,600032,1,浙江新能,2,11.44,0.75,7.02,2,1281537,1404578120.0,10.76,11.45,10.69,10.3,10.63,1.93,5.33,242.17,2.14,电力,浙江板块,"新能源,光伏概念,风能,央国企改革,氢能源,抽水蓄能,绿色电力"
上交所,沪市主板,600033,1,福建高速,2,3.65,-0.01,-0.27,2,229572,84184318.0,1.37,3.69,3.66,3.64,3.67,1.02,0.84,9.79,0.8,铁路公路,福建板块,"参股银行,参股保险,央国企改革"
上交所,沪市主板,600035,1,楚天高速,2,3.86,-0.03,-0.77,2,78880,30522634.0,1.29,3.9,3.89,3.85,3.89,0.75,0.49,6.49,0.68,铁路公路,湖北板块,"创投,物联网,央国企改革,ETC,车联网(车路云),湖北自贸,REITs概念"
上交所,沪市主板,600036,1,招商银行,2,37.9,-0.07,-0.18,2,967299,3673345231.0,0.74,38.14,37.97,37.86,37.98,0.93,0.47,6.31,0.84,银行Ⅱ,广东板块,"深圳特区,互联网金融,跨境支付"
上交所,沪市主板,600037,1,歌华有线,2,8.09,-0.12,-1.46,2,208122,168798324.0,2.07,8.21,8.21,8.04,8.17,0.83,1.5,41.65,0.88,电视广播Ⅱ,北京板块,"网络游戏,物联网,云计算,智慧城市,大数据,在线教育,央国企改革,阿里概念,虚拟现实,数据中心,文娱消费"
上交所,沪市主板,600038,1,中直股份,2,31.3,-0.26,-0.82,2,73239,228925221.0,1.87,31.62,31.56,31.03,31.57,0.75,1.09,169.49,1.46,航空装备Ⅱ,黑龙江,"航天航空,军工,通用航空,央国企改革,无人机,军民融合,大飞机,飞行汽车(eVTOL),低空经济"
上交所,沪市主板,600039,1,四川路桥,2,8.0,0.0,0.0,2,623536,502220905.0,3.38,8.23,8.0,7.96,8.05,1.06,0.72,11.63,1.31,基础建设,四川板块,"工程建设,成渝特区,锂电池概念,西部大开发,央国企改革,一带一路,PPP模式,碳交易,磷化工,雅下水电概念,电池技术"
上交所,沪市主板,600048,1,保利发展,2,6.62,-0.02,-0.3,2,2206678,1461815283.0,2.56,6.72,6.64,6.55,6.64,1.17,1.84,21.63,0.41,房地产开发,广东板块,"参股券商,养老概念,央国企改革,租售同权,REITs概念"
上交所,沪市主板,600050,1,中国联通,2,4.64,-0.08,-1.69,2,2767149,1294761390.0,2.33,4.73,4.72,4.62,4.68,1.06,0.89,16.97,0.85,通信服务,北京板块,"参股银行,物联网,移动支付,大数据,央国企改革,阿里概念,量子科技,5G概念,区块链,华为概念,超清视频,IPv6,WiFi,卫星互联网,数据中心,数据安全,算力概念,数据要素,通信技术"
上交所,沪市主板,600051,1,宁波联合,2,7.76,-0.16,-2.02,2,68349,53460273.0,3.16,7.96,7.92,7.71,7.85,0.75,2.2,111.87,0.71,综合Ⅱ,浙江板块,"长江三角,微盘股"
上交所,沪市主板,600052,1,东望时代,2,4.46,-0.12,-2.62,2,331190,148848698.0,3.49,4.58,4.58,4.42,4.55,0.55,3.92,-48.28,1.74,电力,浙江板块,"参股银行,锂电池概念,长江三角,央国企改革,体育产业,影视概念,储能概念,电池技术"
上交所,沪市主板,600053,1,*ST九鼎,2,9.7,-0.1,-1.02,2,154985,151992480.0,7.45,10.25,9.8,9.52,10.24,1.53,3.57,-30.73,1.89,多元金融,江西板块,"创投,机器人概念,人形机器人"
上交所,沪市主板,600054,1,黄山旅游,2,11.35,-0.05,-0.44,2,75594,85740705.0,1.23,11.43,11.4,11.29,11.43,0.72,1.47,59.77,1.72,旅游及景区,安徽板块,"旅游酒店,参股券商,长江三角,电商概念,央国企改革,旅游概念,IPO受益,人工智能,低空经济,文娱消费"
上交所,沪市主板,600055,1,万东医疗,2,13.41,-0.55,-3.94,2,116980,158545196.0,4.87,14.0,13.96,13.32,13.99,1.85,1.66,-147.92,2.12,医疗器械,北京板块,"大数据,医疗器械概念,阿里概念,互联医疗,AI制药（医疗）"
上交所,沪市主板,600056,1,中国医药,2,10.66,0.15,1.43,2,335922,355658110.0,2.38,10.68,10.51,10.43,10.45,2.08,2.25,21.88,1.33,医药商业,北京板块,"医疗器械概念,央国企改革,流感"
上交所,沪市主板,600057,1,厦门象屿,2,6.89,-0.03,-0.43,2,307155,209557343.0,2.31,6.92,6.92,6.76,6.91,0.78,1.47,9.38,1.24,物流,福建板块,"参股银行,土地流转,央国企改革,一带一路,冷链物流,农业种植,数据要素"
上交所,沪市主板,600058,1,五矿发展,2,11.64,-0.13,-1.1,2,140775,164262620.0,2.72,11.88,11.77,11.56,11.82,0.86,1.31,183.49,2.56,贸易Ⅱ,北京板块,"新材料,电商概念,央国企改革,小金属概念"
上交所,沪市主板,600059,1,古越龙山,2,8.62,-0.13,-1.49,2,86649,75078925.0,1.49,8.75,8.75,8.62,8.75,0.77,0.95,31.67,1.33,非白酒,浙江板块,"酿酒概念,参股银行,长江三角,电商概念,央国企改革,白酒,网红经济,啤酒概念,味蕾经济"
上交所,沪市主板,600060,1,海信视像,2,25.24,-0.06,-0.24,2,81078,204061003.0,1.9,25.46,25.3,24.98,25.29,0.54,0.62,13.94,1.51,黑色家电,山东板块,"节能环保,LED概念,智能穿戴,智能电视,智能家居,体育产业,人工智能,AI智能体,工业互联,电子竞技,超清视频,国产芯片,MiniLED,MicroLED,商业航天,元宇宙概念,机器人概念,多模态AI,AI眼镜,DeepSeek概念,消费电子概念,显示技术"
上交所,沪市主板,600061,1,国投资本,2,6.82,0.07,1.04,2,563468,383988377.0,2.22,6.88,6.75,6.73,6.76,1.04,0.88,14.24,0.8,多元金融,上海板块,"参股期货,长江三角,互联网金融,央国企改革,券商概念,雄安新区"
上交所,沪市主板,600062,1,华润双鹤,2,17.95,-0.07,-0.39,2,64347,115540708.0,0.94,18.06,18.02,17.89,18.03,1.0,0.62,9.61,1.54,化学制药,北京板块,"中药概念,央国企改革,青蒿素,流感,长寿药,肝素概念,创新药,合成生物,特色药"
上交所,沪市主板,600063,1,皖维高新,2,6.56,-0.2,-2.96,2,435907,288273332.0,4.29,6.8,6.76,6.51,6.76,1.05,2.11,24.93,1.6,化学纤维,安徽板块,"煤化工概念,参股券商,新材料,央国企改革,OLED,降解塑料"
上交所,沪市主板,600064,1,南京高科,2,8.21,-0.1,-1.2,2,170102,140749709.0,2.17,8.38,8.31,8.2,8.3,0.83,0.98,5.66,0.72,房地产开发,江苏板块,"创投,参股券商,参股银行,长江三角,央国企改革,IPO受益"
上交所,沪市主板,600066,1,宇通客车,2,35.83,0.17,0.48,2,171850,609268978.0,2.64,35.85,35.66,34.91,35.51,0.96,0.78,30.08,6.72,商用车,河南板块,"燃料电池概念,无人驾驶,新能源车,车联网(车路云),汽车整车,电池技术"
上交所,沪市主板,600067,1,冠城新材,2,3.39,-0.06,-1.74,2,290516,98946045.0,2.03,3.45,3.45,3.38,3.44,0.63,2.09,-57.29,0.84,电网设备,福建板块,"参股银行,锂电池概念,新能源车,储能概念,电池技术"
上交所,沪市主板,600071,1,凤凰光学,2,20.12,-0.29,-1.42,2,36984,74477111.0,2.11,20.38,20.41,19.95,20.38,0.8,1.31,-794.73,11.12,光学光电子,江西板块,"物联网,锂电池概念,安防概念,央国企改革,电池技术"
上交所,沪市主板,600072,1,中船科技,2,13.46,-0.15,-1.1,2,275413,368595989.0,3.45,13.7,13.61,13.23,13.67,0.59,2.54,-25.56,2.66,风电设备,上海板块,"军工,长江三角,风能,海工装备,央国企改革,航母概念,PPP模式"
上交所,沪市主板,600073,1,光明肉业,2,5.74,-0.14,-2.38,2,124873,72080936.0,2.72,5.89,5.88,5.73,5.88,1.67,1.33,27.12,1.15,食品加工,上海板块,"长江三角,沪企改革,央国企改革,猪肉概念,预制菜概念"
上交所,沪市主板,600075,1,新疆天业,2,6.19,-0.03,-0.48,2,206391,127612398.0,3.05,6.26,6.22,6.07,6.23,0.63,1.21,-44.62,1.2,化学原料,新疆板块,"煤化工概念,西部大开发,央国企改革,一带一路,降解塑料,储能概念"
上交所,沪市主板,600076,1,康欣新材,2,4.36,0.4,10.1,2,610911,265768139.0,2.78,4.36,3.96,4.25,4.36,1.64,4.54,-28.24,1.65,包装印刷,山东板块,"新材料,央国企改革,装配建筑,碳交易"
上交所,沪市主板,600078,1,澄星股份,2,15.3,-0.93,-5.73,2,952469,1475949596.0,8.19,16.39,16.23,15.06,16.23,1.7,14.38,93.85,6.08,农化制品,江苏板块,"化工原料,长江三角,磷化工"
上交所,沪市主板,600079,1,ST人福,2,18.44,-0.09,-0.49,2,136626,251891296.0,0.7,18.53,18.53,18.4,18.53,0.9,0.89,12.79,1.55,化学制药,湖北板块,"生物疫苗,医疗器械概念,央国企改革,体外诊断概念,流感,辅助生殖,创新药,病原体防治,精准诊断"
上交所,沪市主板,600080,1,ST金花,2,5.95,-0.26,-4.19,2,266942,161570382.0,5.8,6.27,6.21,5.91,6.17,4.04,7.15,142.08,1.39,中药Ⅱ,陕西板块,"西部大开发,中药概念,医疗器械概念,独家药品"
上交所,沪市主板,600081,1,东风科技,2,11.74,-0.11,-0.93,2,87767,102706035.0,2.95,11.9,11.85,11.55,11.84,0.64,1.59,40.69,1.4,汽车零部件,上海板块,"长江三角,无人驾驶,氢能源,新能源车,传感器,汽车热管理,减速器"
上交所,沪市主板,600082,1,ST海泰,2,3.94,0.19,5.07,2,152054,59641116.0,4.53,3.94,3.75,3.77,3.77,0.57,2.4,-47.04,1.51,房地产开发,天津板块,"创投,滨海新区,央国企改革,京津冀"
上交所,沪市主板,600084,1,*ST尼雅,2,5.0,0.24,5.04,2,111055,54885836.0,4.83,5.0,4.76,4.77,4.82,0.88,0.99,258.32,4.41,非白酒,新疆板块,"酿酒概念,参股期货,西部大开发,央国企改革,乡村振兴,农业种植"
上交所,沪市主板,600085,1,同仁堂,2,28.07,0.14,0.5,2,104992,295322282.0,2.26,28.45,27.93,27.82,27.9,1.35,0.77,20.43,2.73,中药Ⅱ,北京板块,"中药概念,独家药品,央国企改革,超级品牌,流感,特色药"
上交所,沪市主板,600088,1,中视传媒,2,16.85,-0.04,-0.24,2,164191,277211498.0,5.98,17.36,16.89,16.35,16.88,1.37,4.13,2475.3,5.34,影视院线,上海板块,"长江三角,央国企改革,旅游概念,乡村振兴,影视概念,超清视频,文娱消费"
上交所,沪市主板,600089,1,特变电工,2,28.94,0.96,3.43,2,3528509,10129489142.0,5.33,29.29,27.98,27.8,27.98,1.9,6.98,20.15,2.03,电网设备,新疆板块,"煤化工概念,新能源,黄金概念,核能核电,智能电网,光伏概念,西部大开发,风能,海工装备,海洋经济,充电桩,一带一路,雄安新区,特高压,数据中心,储能概念,超超临界发电,电网概念"
上交所,沪市主板,600094,1,大名城,2,4.74,-0.07,-1.46,2,255284,120322447.0,3.33,4.81,4.81,4.65,4.8,0.83,1.2,589.7,1.07,房地产开发,上海板块,"参股券商,长江三角,土地流转,算力概念,低空经济"
上交所,沪市主板,600095,1,湘财股份,2,9.07,-0.1,-1.09,2,224537,204760230.0,2.18,9.21,9.17,9.01,9.16,0.95,0.79,269.01,2.11,证券Ⅱ,黑龙江,"创投,参股券商,参股银行,互联网金融,券商概念,东北振兴,并购重组概念"
上交所,沪市主板,600096,1,云天化,2,34.19,-0.84,-2.4,2,402480,1385100414.0,2.31,34.96,35.03,34.15,34.93,0.76,2.21,10.94,2.61,农化制品,云南板块,"煤化工概念,化工原料,新材料,锂电池概念,西部大开发,央国企改革,氟化工概念,一带一路,碳交易,磷化工,电池技术"
上交所,沪市主板,600097,1,开创国际,2,10.21,-0.14,-1.35,2,38175,39291453.0,2.8,10.45,10.35,10.16,10.41,0.97,1.58,-17.49,1.09,渔业,上海板块,"长江三角,海洋经济,沪企改革,央国企改革,水产概念,微盘股"
上交所,沪市主板,600098,1,广州发展,2,7.28,0.13,1.82,2,551556,400476427.0,2.52,7.32,7.15,7.14,7.15,1.36,1.57,11.92,0.92,电力,广东板块,"新能源,节能环保,光伏概念,风能,央国企改革,充电桩,可燃冰,天然气,储能概念,抽水蓄能,油气资源"
上交所,沪市主板,600099,1,林海股份,2,11.48,-0.32,-2.71,2,50183,58150673.0,3.73,11.84,11.8,11.4,11.81,0.74,2.29,151.1,4.57,摩托车及其他,江苏板块,"交运设备,长江三角,央国企改革,无人驾驶,微盘股"
上交所,沪市主板,600100,1,同方股份,2,9.04,-0.1,-1.09,2,728279,661402014.0,2.74,9.2,9.14,8.95,9.17,0.92,2.17,-41.27,1.91,计算机设备,北京板块,"创投,参股券商,物联网,移动支付,LED概念,智慧城市,大数据,在线教育,安防概念,央国企改革,京津冀,人工智能,军民融合,雄安新区,数字经济,机器人概念,信创,ChatGPT概念,算力概念,数据要素,可控核聚变,AI语料,海南自贸"
上交所,沪市主板,600101,1,明星电力,2,10.39,0.21,2.06,2,399567,413228894.0,4.42,10.5,10.18,10.05,10.14,1.69,7.29,19.52,1.8,电力,四川板块,"成渝特区,西部大开发,央国企改革,充电桩,天然气,绿色电力,钒电池,电池技术,油气资源"
上交所,沪市主板,600103,1,青山纸业,2,4.95,0.09,1.85,2,2421776,1197830898.0,5.35,5.1,4.86,4.84,4.86,1.01,10.95,182.88,2.79,造纸,福建板块,"造纸印刷,节能环保,中药概念,央国企改革,5G概念,光通信模块,通信技术"
上交所,沪市主板,600104,1,上汽集团,2,13.4,-0.16,-1.18,2,412519,555119303.0,1.18,13.55,13.56,13.39,13.54,1.0,0.36,12.73,0.51,乘用车,上海板块,"长江三角,上海自贸,沪企改革,燃料电池概念,央国企改革,一带一路,无人驾驶,超级品牌,新能源车,半导体概念,车联网(车路云),固态电池,华为汽车,换电概念,汽车整车,电池技术"
上交所,沪市主板,600105,1,永鼎股份,2,52.32,0.92,1.79,2,1917080,10270797312.0,8.54,55.99,51.4,51.6,51.63,1.08,13.11,120.4,23.05,通信设备,江苏板块,"长江三角,风能,大数据,网络安全,超导概念,一带一路,5G概念,华为概念,国产芯片,新能源车,数据中心,磁悬浮概念,CPO概念,光通信模块,可控核聚变,通信技术,光纤概念"
上交所,沪市主板,600106,1,重庆路桥,2,6.01,-0.05,-0.83,2,212143,127430635.0,2.64,6.1,6.06,5.94,6.02,0.8,1.6,75.22,1.5,铁路公路,重庆板块,"参股银行,成渝特区,西部大开发,页岩气,PPP模式,ETC"
上交所,沪市主板,600107,1,*ST尔雅,2,6.81,0.12,1.79,2,88778,60013109.0,3.89,6.89,6.69,6.63,6.63,0.8,2.47,164.02,6.05,服装家纺,湖北板块,"参股期货,天然气,湖北自贸,油气资源"
上交所,沪市主板,600108,1,亚盛集团,2,4.2,-0.19,-4.33,2,792402,336644884.0,5.69,4.4,4.39,4.15,4.4,1.22,4.07,97.17,1.89,种植业,甘肃板块,"参股券商,西部大开发,土地流转,央国企改革,乡村振兴,农业种植,啤酒概念,粮食概念"
上交所,沪市主板,600109,1,国金证券,2,9.3,0.05,0.54,2,409947,379673241.0,2.16,9.34,9.25,9.14,9.24,0.92,1.11,12.44,0.95,证券Ⅱ,四川板块,"参股期货,成渝特区,西部大开发,互联网金融,券商概念,蚂蚁概念,科创板做市商"
上交所,沪市主板,600110,1,诺德股份,2,10.84,-0.11,-1.0,2,1303332,1414670481.0,4.84,11.14,10.95,10.61,10.96,0.73,7.51,117.3,3.34,电池,吉林板块,"创投,新材料,锂电池概念,核能核电,智能电网,特斯拉概念,超级电容,无人机,新能源车,固态电池,复合集流体,电网概念,电池技术"
上交所,沪市主板,600111,1,北方稀土,2,54.44,-3.41,-5.89,2,2288697,12644459780.0,6.78,57.95,57.85,54.03,57.9,1.07,6.33,53.61,7.69,小金属,内蒙古,"稀缺资源,新材料,锂电池概念,稀土永磁,西部大开发,央国企改革,小金属概念,电池技术"
上交所,沪市主板,600113,1,浙江东日,2,43.53,-2.43,-5.29,2,68803,304629442.0,5.98,45.98,45.96,43.23,45.96,0.88,1.67,211.08,7.16,一般零售,浙江板块,"参股银行,长江三角,央国企改革,冷链物流,社区团购,中俄贸易概念"
上交所,沪市主板,600114,1,东睦股份,2,35.1,0.3,0.86,2,183279,641663439.0,2.04,35.4,34.8,34.69,35.4,0.8,2.97,44.02,6.22,通用设备,浙江板块,"新材料,长江三角,3D打印,特斯拉概念,苹果概念,燃料电池概念,小米概念,华为概念,机器人概念,光通信模块,柔性屏(折叠屏),英伟达概念,电池技术"
上交所,沪市主板,600115,1,中国东航,2,4.44,-0.08,-1.77,2,2036994,913094563.0,3.54,4.57,4.52,4.41,4.51,0.76,1.2,15.01,6.95,航空机场,上海板块,"通用航空,电商概念,央国企改革,大飞机"
上交所,沪市主板,600116,1,三峡水利,2,6.85,0.07,1.03,2,282184,192571948.0,2.36,6.88,6.78,6.72,6.79,1.08,1.48,101.3,1.16,电力,重庆板块,"节能环保,参股银行,成渝特区,光伏概念,西部大开发,央国企改革,绿色电力"
上交所,沪市主板,600117,1,西宁特钢,2,2.57,-0.07,-2.65,2,214617,55549321.0,3.41,2.65,2.64,2.56,2.64,1.31,0.66,-8.28,2.43,特钢Ⅱ,青海板块,"军工,煤化工概念,参股银行,西部大开发,雅下水电概念"
上交所,沪市主板,600118,1,中国卫星,2,111.66,-4.45,-3.83,2,603719,6812571344.0,3.68,115.8,116.11,111.53,115.0,0.82,5.11,-773.23,20.88,航天装备Ⅱ,北京板块,"航天航空,军工,北斗导航,央国企改革,无人机,一带一路,军民融合,大飞机,国产芯片,卫星互联网,商业航天,空间站概念,时空大数据,低空经济"
上交所,沪市主板,600119,1,*ST长投,2,6.4,-0.06,-0.93,2,57531,36869717.0,3.87,6.56,6.46,6.31,6.47,0.5,1.58,-215.71,31.49,物流,上海板块,"长江三角,上海自贸,沪企改革,央国企改革,一带一路,快递概念,统一大市场"
上交所,沪市主板,600120,1,浙江东方,2,5.61,-0.17,-2.94,2,619299,350891863.0,2.77,5.76,5.78,5.6,5.76,1.24,1.81,31.34,1.17,多元金融,浙江板块,"创投,参股券商,参股期货,长江三角,参股保险,央国企改革,IPO受益,量子科技,中芯概念"
上交所,沪市主板,600121,1,郑州煤电,2,4.16,-0.07,-1.65,2,336999,140632484.0,2.36,4.23,4.23,4.13,4.22,0.78,2.77,-6.48,6.89,煤炭开采,河南板块,"参股券商,稀缺资源,央国企改革"
上交所,沪市主板,600123,1,兰花科创,2,6.74,-0.06,-0.88,2,207204,140096748.0,2.21,6.85,6.8,6.7,6.7,0.47,1.41,-90.4,0.66,煤炭开采,山西板块,"煤化工概念,稀缺资源,新材料,央国企改革"
上交所,沪市主板,600125,1,铁龙物流,2,6.01,-0.06,-0.99,2,129036,77986951.0,1.48,6.1,6.07,6.01,6.08,0.71,0.99,9.06,1.0,铁路公路,辽宁板块,"铁路基建,央国企改革,一带一路,东北振兴,冷链物流,碳交易,快递概念,中俄贸易概念"
上交所,沪市主板,600126,1,杭钢股份,2,9.04,-0.32,-3.42,2,1242655,1130765739.0,4.17,9.36,9.36,8.97,9.36,0.74,3.68,794.42,1.57,普钢,浙江板块,"节能环保,云计算,长江三角,土地流转,央国企改革,阿里概念,数据中心,汽车拆解,国资云概念"
上交所,沪市主板,600127,1,金健米业,2,6.68,-0.09,-1.33,2,207612,138977287.0,2.07,6.78,6.77,6.64,6.77,1.08,3.23,6123.58,6.39,农产品加工,湖南板块,"电商概念,央国企改革,新零售,乡村振兴,乳业,预制菜概念,粮食概念"
上交所,沪市主板,600128,1,苏豪弘业,2,10.19,-0.35,-3.32,2,71065,73298674.0,3.89,10.55,10.54,10.14,10.54,1.37,2.88,48.86,1.19,贸易Ⅱ,江苏板块,"创投,参股期货,黄金概念,长江三角,央国企改革,跨境电商,微盘股"
上交所,沪市主板,600129,1,太极集团,2,15.52,-0.37,-2.33,2,73179,114399806.0,2.45,15.91,15.89,15.52,15.9,1.07,1.33,32.6,2.4,中药Ⅱ,重庆板块,"成渝特区,西部大开发,中药概念,土地流转,养老概念,病毒防治,央国企改革,阿里概念,人工智能,百度概念,医美概念,流感,病原体防治"
上交所,沪市主板,600130,1,波导股份,2,6.32,-0.16,-2.47,2,1794172,1114939135.0,6.33,6.41,6.48,6.0,6.27,1.78,23.92,463.46,5.21,消费电子,浙江板块,长江三角
上交所,沪市主板,600131,1,国网信通,2,18.01,-0.1,-0.55,2,117248,211101124.0,2.1,18.18,18.11,17.8,18.15,0.9,0.98,1260.02,3.33,IT服务Ⅱ,四川板块,"互联网服务,成渝特区,物联网,智能电网,西部大开发,网络安全,央国企改革,国产软件,无人机,量子科技,5G概念,人工智能,AI智能体,华为概念,数字孪生,UWB概念,IPv6,特高压,数据中心,鸿蒙概念,虚拟电厂,碳交易,储能概念,信创,ERP概念,算力概念,雅下水电概念,电网概念,通信技术"
上交所,沪市主板,600132,1,重庆啤酒,2,52.99,-0.78,-1.45,2,48180,256245313.0,2.29,54.03,53.77,52.8,53.76,0.88,1.0,14.65,14.03,非白酒,重庆板块,"酿酒概念,成渝特区,西部大开发,啤酒概念,味蕾经济"
