交易所,板块,代码,名称,行业,地域板块,概念题材,最新价,涨跌幅(%),成交额(亿元),振幅(%),换手率(%),量比,市盈率,市净率,主线评分,主线明细,评分,评分明细,优先级,入选理由,建议建仓位,是否适合今天建第一笔,建议动作,风险提示,排名
深交所,深市主板,002241,歌尔股份,消费电子,山东板块,"LED概念,智能穿戴,智能电视,苹果概念,智能家居,无人机,虚拟现实,增强现实,工业互联,小米概念,独角兽,华为概念,国产芯片,无线耳机,传感器,MicroLED,元宇宙概念,混合现实,AI眼镜,消费电子概念",25.81,1.89,34.16,6.20,4.27,1.07,45.54,2.45,13.00,行业消费电子均涨1.37%上涨率67%前排32%/13%；强概念AI眼镜均涨1.42%上涨率64%；主线13/15,79.00,成交额分层12/12；换手5/5；量比2/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.26/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排32%/13%；强概念AI眼镜均涨1.42%上涨率64%；主线13/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,25.42-25.73企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：25.42-25.73企稳可分批看第一笔,若跌破日内低点24.59或回踩后持续弱于昨收25.33，应降低仓位预期,Top11
深交所,深市主板,002600,领益智造,消费电子,广东板块,"新材料,智能穿戴,苹果概念,5G概念,虚拟现实,人工智能,增强现实,小米概念,华为概念,无线耳机,新能源车,激光雷达,机器人概念,减速器,液冷概念,混合现实,柔性屏(折叠屏),AI手机,AIPC,AI眼镜,人形机器人,消费电子概念",17.07,0.77,67.78,5.90,5.55,1.17,79.63,5.14,13.00,行业消费电子均涨1.37%上涨率67%前排49%/6%；强概念5G概念均涨1.45%上涨率66%；主线13/15,79.00,成交额分层12/12；换手5/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置3/8；尾盘近似5.53/20；历史风险22/22；空间盈亏比13/13；行业消费电子均涨1.37%上涨率67%前排49%/6%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,16.82-17.02企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：16.82-17.02企稳可分批看第一笔,若跌破日内低点16.43或回踩后持续弱于昨收16.94，应降低仓位预期,Top12
深交所,创业板,300115,长盈精密,消费电子,广东板块,"深圳特区,智能穿戴,特斯拉概念,苹果概念,燃料电池概念,5G概念,虚拟现实,小米概念,电子烟,国产芯片,无线耳机,新能源车,储能概念,机器人概念,减速器,柔性屏(折叠屏),AIPC,铜缆高速连接,AI眼镜,人形机器人,消费电子概念,电池技术,通信技术",38.75,1.71,39.53,5.12,7.62,1.24,105.31,6.21,13.00,行业消费电子均涨1.37%上涨率67%前排36%/9%；强概念5G概念均涨1.45%上涨率66%；主线13/15,79.00,成交额分层12/12；换手1/5；量比4/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.58/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排36%/9%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额高、涨幅未过热、量比健康、价格区间适合重仓隔夜,38.26-38.65企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.26-38.65企稳可分批看第一笔,若跌破日内低点37.20或回踩后持续弱于昨收38.10，应降低仓位预期,Top13
深交所,创业板,300131,英唐智控,其他电子Ⅱ,广东板块,"深圳特区,物联网,智能家居,阿里概念,5G概念,无人驾驶,小米概念,OLED,华为概念,纳米银,光刻机(胶),国产芯片,新能源车,半导体概念,车联网(车路云),第三代半导体,汽车芯片,碳化硅,激光雷达,CPO概念,ERP概念,存储芯片,AI眼镜,通信技术",21.75,1.02,29.88,10.64,13.63,0.80,1514.88,14.30,11.00,行业其他电子Ⅱ均涨1.05%上涨率58%前排45%/6%；强概念5G概念均涨1.45%上涨率66%；主线11/15,79.00,成交额分层9/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.11/20；历史风险22/22；空间盈亏比8/13；行业其他电子Ⅱ均涨1.05%上涨率58%前排45%/6%；强概念5G概念均涨1.45%上涨率66%；主线11/15；执行条件不足封顶79,备选,流动性达标、涨幅未过热、价格区间适合重仓隔夜,21.18-21.64企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：21.18-21.64企稳可分批看第一笔,换手已偏高，若重新跌破昨收21.53附近，短线波动可能加剧,Top14
深交所,创业板,300602,飞荣达,消费电子,广东板块,"深圳特区,光伏概念,石墨烯,苹果概念,充电桩,5G概念,华为概念,新能源车,储能概念,汽车热管理,麒麟电池,液冷概念,柔性屏(折叠屏),AIPC,荣耀概念,华为海思,人形机器人,电池技术,通信技术",38.79,2.56,12.07,6.85,7.95,1.16,72.94,5.44,13.00,行业消费电子均涨1.37%上涨率67%前排26%/26%；强概念5G概念均涨1.45%上涨率66%；主线13/15,79.00,成交额分层5/12；换手1/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.23/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排26%/26%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、量比健康、价格区间适合重仓隔夜,38.14-38.66企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.14-38.66企稳可分批看第一笔,若跌破日内低点36.74或回踩后持续弱于昨收37.82，应降低仓位预期,Top15
深交所,深市主板,000034,神州数码,IT服务Ⅱ,广东板块,"深圳特区,物联网,云计算,网络安全,阿里概念,人工智能,无人驾驶,区块链,华为概念,边缘计算,数据中心,华为昇腾,数字经济,信创,ChatGPT概念,存储芯片,液冷概念,英伟达概念,华为海思,智谱AI概念,DeepSeek概念,腾讯云,AI应用",41.57,2.09,15.85,4.64,6.28,0.80,31.98,2.70,13.00,行业IT服务Ⅱ均涨1.41%上涨率65%前排31%/8%；强概念网络安全均涨1.62%上涨率72%；主线13/15,78.71,成交额分层5/12；换手3/5；量比1/4；涨跌幅8/8；振幅质量近似3/5；日内位置6/8；尾盘近似9.71/20；历史风险22/22；空间盈亏比8/13；行业IT服务Ⅱ均涨1.41%上涨率65%前排31%/8%；强概念网络安全均涨1.62%上涨率72%；主线13/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,41.10-41.48企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：41.10-41.48企稳可分批看第一笔,若跌破日内低点40.31或回踩后持续弱于昨收40.72，应降低仓位预期,Top16
上交所,沪市主板,600879,航天电子,航天装备Ⅱ,湖北板块,"航天航空,军工,北斗导航,央国企改革,无人机,量子科技,军民融合,国产芯片,传感器,特高压,卫星互联网,商业航天,空间站概念,低空经济",23.56,1.86,32.55,5.14,4.16,0.73,621.30,3.72,13.00,行业航天装备Ⅱ均涨1.48%上涨率89%前排33%/22%；强概念国产芯片均涨1.06%上涨率64%；主线13/15,78.60,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置1/8；尾盘近似2.6/20；历史风险22/22；空间盈亏比13/13；行业航天装备Ⅱ均涨1.48%上涨率89%前排33%/22%；强概念国产芯片均涨1.06%上涨率64%；主线13/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,23.26-23.50企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：23.26-23.50企稳可分批看第一笔,若跌破日内低点23.00或回踩后持续弱于昨收23.13，应降低仓位预期,Top17
上交所,沪市主板,600176,中国巨石,玻璃玻纤,浙江板块,"新材料,风能,央国企改革,一带一路,PCB,PEEK材料概念,DeepSeek概念",34.14,0.83,46.81,5.73,3.45,0.87,26.96,4.23,7.00,行业玻璃玻纤均涨0.24%上涨率47%前排40%/7%；强概念DeepSeek概念均涨1.18%上涨率62%；主线7/15,77.65,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置3/8；尾盘近似5.65/20；历史风险22/22；空间盈亏比13/13；行业玻璃玻纤均涨0.24%上涨率47%前排40%/7%；强概念DeepSeek概念均涨1.18%上涨率62%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,33.66-34.04企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：33.66-34.04企稳可分批看第一笔,若跌破日内低点32.88或回踩后持续弱于昨收33.86，应降低仓位预期,Top18
深交所,深市主板,000960,锡业股份,小金属,云南板块,"稀缺资源,西部大开发,央国企改革,小金属概念,化债(AMC)概念",37.70,3.23,22.72,7.53,3.73,0.79,17.88,3.05,9.00,行业小金属均涨0.70%上涨率58%前排17%/21%；强概念稀缺资源均涨0.53%上涨率50%；主线9/15,77.55,成交额分层9/12；换手5/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.55/20；历史风险22/22；空间盈亏比8/13；行业小金属均涨0.70%上涨率58%前排17%/21%；强概念稀缺资源均涨0.53%上涨率50%；主线9/15；执行条件不足封顶79,备选,流动性达标、换手率适中、价格区间适合重仓隔夜,36.74-37.29回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：36.74-37.29回踩稳住再看，不追高,若跌破日内低点35.35或回踩后持续弱于昨收36.52，应降低仓位预期,Top19
深交所,深市主板,002747,埃斯顿,自动化设备,江苏板块,"养老概念,医疗器械概念,人工智能,工业互联,机器视觉,工业母机,机器人概念,人形机器人",26.07,2.52,19.37,5.54,9.49,1.66,64.47,7.79,13.00,行业自动化设备均涨1.95%上涨率67%前排33%/14%；强概念机器视觉均涨1.77%上涨率74%；主线13/15,77.36,成交额分层5/12；换手1/5；量比2/4；涨跌幅5/8；振幅质量近似1/5；日内位置6/8；尾盘近似9.36/20；历史风险22/22；空间盈亏比13/13；行业自动化设备均涨1.95%上涨率67%前排33%/14%；强概念机器视觉均涨1.77%上涨率74%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、量比健康、价格区间适合重仓隔夜,25.72-26.00企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：25.72-26.00企稳可分批看第一笔,换手已偏高，若重新跌破昨收25.43附近，短线波动可能加剧,Top20
深交所,深市主板,002636,金安国纪,元件,上海板块,"医疗器械概念,PCB",43.77,2.03,10.81,4.27,3.45,0.69,39.47,8.35,11.00,行业元件均涨2.73%上涨率76%前排43%/40%；强概念PCB均涨1.61%上涨率64%；主线11/15,77.28,成交额分层5/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似3/5；日内位置8/8；尾盘近似13.28/20；历史风险22/22；空间盈亏比1/13；行业元件均涨2.73%上涨率76%前排43%/40%；强概念PCB均涨1.61%上涨率64%；主线11/15,备选,成交额观察、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,43.31-43.68企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：43.31-43.68企稳可分批看第一笔,若跌破日内低点42.08或回踩后持续弱于昨收42.90，应降低仓位预期,Top21
上交所,沪市主板,601225,陕西煤业,煤炭开采,陕西板块,"西部大开发,央国企改革",24.39,2.22,16.00,3.27,0.68,1.42,14.04,2.32,8.00,行业煤炭开采均涨2.62%上涨率92%前排40%/12%；主线8/15,77.19,成交额分层5/12；换手1/5；量比4/4；涨跌幅8/8；振幅质量近似5/5；日内位置6/8；尾盘近似10.19/20；历史风险22/22；空间盈亏比8/13；行业煤炭开采均涨2.62%上涨率92%前排40%/12%；主线8/15,备选,成交额观察、振幅适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,24.20-24.35企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：24.20-24.35企稳可分批看第一笔,若跌破日内低点23.86或回踩后持续弱于昨收23.86，应降低仓位预期,Top22
深交所,创业板,300738,奥飞数据,通信服务,广东板块,"互联网服务,云计算,大数据,网络安全,一带一路,百度概念,边缘计算,数据中心,元宇宙概念,东数西算,算力概念,数据要素",27.83,1.72,29.91,3.47,10.88,1.07,73.92,7.14,13.00,行业通信服务均涨2.90%上涨率85%前排68%/15%；强概念互联网服务均涨1.37%上涨率69%；主线13/15,76.92,成交额分层9/12；换手1/5；量比2/4；涨跌幅8/8；振幅质量近似5/5；日内位置1/8；尾盘近似2.92/20；历史风险22/22；空间盈亏比13/13；行业通信服务均涨2.90%上涨率85%前排68%/15%；强概念互联网服务均涨1.37%上涨率69%；主线13/15；执行条件不足封顶79,备选,流动性达标、振幅适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,27.59-27.78企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：27.59-27.78企稳可分批看第一笔,换手已偏高，若重新跌破昨收27.36附近，短线波动可能加剧,Top23
深交所,深市主板,002261,拓维信息,软件开发,湖南板块,"网络游戏,云计算,大数据,在线教育,阿里概念,人工智能,工业互联,独角兽,华为概念,边缘计算,智慧政务,车联网(车路云),鸿蒙概念,华为昇腾,华为欧拉,东数西算,机器人概念,信创,液冷概念,DeepSeek概念",33.93,1.80,20.37,1.92,5.24,0.61,173.91,16.41,13.00,行业软件开发均涨1.63%上涨率75%前排36%/3%；强概念DeepSeek概念均涨1.18%上涨率62%；主线13/15,75.84,成交额分层9/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似3/5；日内位置3/8；尾盘近似6.84/20；历史风险22/22；空间盈亏比5/13；行业软件开发均涨1.63%上涨率75%前排36%/3%；强概念DeepSeek概念均涨1.18%上涨率62%；主线13/15,备选,流动性达标、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,33.77-33.90企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：33.77-33.90企稳可分批看第一笔,若跌破日内低点33.55或回踩后持续弱于昨收33.33，应降低仓位预期,Top24
上交所,沪市主板,605589,圣泉集团,塑料,山东板块,"军工,节能环保,新材料,锂电池概念,石墨烯,3D打印,国产软件,超级电容,氢能源,PCB,光刻机(胶),代糖概念,商业航天,固态电池,建筑节能,抗菌面料,高带宽内存,合成生物,电池技术",44.08,4.75,24.34,8.53,6.59,1.06,52.59,3.42,9.00,行业塑料均涨0.18%上涨率46%前排6%/3%；强概念高带宽内存均涨1.87%上涨率67%；主线9/15,75.64,成交额分层9/12；换手3/5；量比2/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似11.64/20；历史风险22/22；空间盈亏比8/13；行业塑料均涨0.18%上涨率46%前排6%/3%；强概念高带宽内存均涨1.87%上涨率67%；主线9/15；执行条件不足封顶79,备选,流动性达标、换手率适中、量比健康、价格区间适合重仓隔夜,42.82-43.54回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：42.82-43.54回踩稳住再看，不追高,当日涨幅偏高，若跌破41.37附近承接且收不回，不宜追高接力,Top25
深交所,深市主板,002138,顺络电子,元件,广东板块,"深圳特区,物联网,移动支付,燃料电池概念,无人机,5G概念,小米概念,华为概念,传感器,无线充电,被动元件概念,消费电子概念,电池技术,通信技术",36.69,2.98,15.65,8.53,5.68,1.33,41.58,4.66,11.00,行业元件均涨2.73%上涨率76%前排36%/33%；强概念5G概念均涨1.45%上涨率66%；主线11/15,75.62,成交额分层5/12；换手5/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置6/8；尾盘近似8.62/20；历史风险22/22；空间盈亏比8/13；行业元件均涨2.73%上涨率76%前排36%/33%；强概念5G概念均涨1.45%上涨率66%；主线11/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,35.93-36.54企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：35.93-36.54企稳可分批看第一笔,若跌破日内低点34.62或回踩后持续弱于昨收35.63，应降低仓位预期,Top26
